key,en_US,zh_TW,ja_JP
仅CPU,CPU Only,僅CPU,CPUのみ
仅GPU,GPU Only,僅GPU,GPUのみ
CPU+GPU混合（推荐）,CPU+GPU Hybrid (Recommended),CPU+GPU混合（推薦）,CPU+GPUハイブリッド（推奨）
混合模式会优先尝试GPU，若启动失败则自动回退CPU，兼顾速度与稳定性。仅GPU模式需要GPU版构建的PaddleOCR-json.exe。,"Hybrid mode tries GPU first and automatically falls back to CPU if GPU initialization fails, balancing speed and stability. GPU-only mode requires a GPU-built PaddleOCR-json.exe.",混合模式會優先嘗試GPU，若啟動失敗則自動回退CPU，兼顧速度與穩定性。僅GPU模式需要GPU版構建的PaddleOCR-json.exe。,ハイブリッドモードはまずGPUを試し、初期化に失敗した場合は自動でCPUへフォールバックし、速度と安定性を両立します。GPUのみモードにはGPU版ビルドのPaddleOCR-json.exeが必要です。
GPU编号,GPU ID,GPU編號,GPU ID
启用TensorRT加速,Enable TensorRT acceleration,啟用TensorRT加速,TensorRT加速を有効にする
使用TensorRT加速GPU推理，可显著提升GPU推理速度。需要GPU版构建的PaddleOCR-json.exe及TensorRT环境。,"Use TensorRT to accelerate GPU inference, significantly improving GPU inference speed. Requires a GPU-built PaddleOCR-json.exe and TensorRT environment.",使用TensorRT加速GPU推理，可顯著提升GPU推理速度。需要GPU版構建的PaddleOCR-json.exe及TensorRT環境。,TensorRTを使用してGPU推論を加速し、GPU推論速度を大幅に向上させます。GPU版ビルドのPaddleOCR-json.exeとTensorRT環境が必要です。
推理精度,Inference Precision,推理精度,推論精度
FP32（默认）,FP32 (Default),FP32（默認）,FP32（デフォルト）
FP16（更快）,FP16 (Faster),FP16（更快）,FP16（高速）
FP16精度可加速GPU推理，但可能略微降低精度。仅GPU模式有效。,FP16 precision can accelerate GPU inference but may slightly reduce accuracy. Only effective in GPU mode.,FP16精度可加速GPU推理，但可能略微降低精度。僅GPU模式有效。,FP16精度はGPU推論を加速できますが、精度がわずかに低下する可能性があります。GPUモードのみ有効。
竖排文字模式,Vertical text mode,豎排文字模式,縦書きモード
启用后，识别结果将按竖排阅读顺序重排：从右到左逐列，每列从上到下。适用于竖排繁体中文等场景。,"When enabled, recognition results will be reordered in vertical reading order: right-to-left by column, top-to-bottom within each column. Suitable for vertical traditional Chinese, etc.","啟用後，識別結果將按豎排閱讀順序重排：從右到左逐列，每列從上到下。適用於豎排繁體中文等場景。",有効にすると、認識結果が縦書きの読み順に再配置されます：右から左へ列ごと、各列は上から下へ。縦書き繁体字中国語などに適しています。
